Bolag;Koncept;Kommentar;Butiks nr;Namn;Butik / Enhet;Företag;Enhet;Organisationsnummer;Franchise;Gatuadress;Postnr;Postadress;Email-adress Butiks-/SM-chef;Butikschef (BC);Telefon butik;BC Telefon;Mobil;Direktör Försäljning;Försäljningschef;Marknadsområde;Distriktschef (DC);Distrikt;K Ställe;Namn2;Gamla butiksnummer;Säljplan;Säk, kval & Arbetsmiljö samordnare;Kommun;HR Generalist;Bemanningsspecialist;Site-ID
Coop Östra;Coop;;36961;Almunge;Coop Almunge;0005;01;556030-5921;;Almungevägen 218;741 72;Almunge;Almunge.bc@coop.se;Kim Fredriksson;010-741 27 60;010-741 27 61;;Kerim Nielsen;Misak Yazdi;Nord 5;Caroline Gudmundsson;VH Nord 5;036961;Almunge;;Coop Närhandel;Mikaela Norrman;Uppsala;Jenny Halldin;Anna Rydmark;1140
Coop Östra;Coop;;36001;Alsike;Coop Alsike;0005;01;556030-5921;;Dammgatan 54;741 47;Knivsta;alsike.bc@coop.se;Peter Jansson;;010-745 03 91;073-077 62 89;Kerim Nielsen;Misak Yazdi;Nord 5;Caroline Gudmundsson;VH Nord 5;036001;Alsike;;Coop  ;Mikaela Norrman;Knivsta;Jenny Halldin;Anna Rydmark;1133
Coop Östra;X:tra;;16712;Aspudden;X:-tra Aspudden;0005;01;556030-5921;;Hägerstensvägen 166;126 53;Hägersten; aspudden.bc@coop.se;Pontus Lindberg;010-746 46 10;010-746 46 11;;Kerim Nielsen;Misak Yazdi;Nord 2;Tf Ismail Lalami;VH Nord 2 ;016712;Aspudden;216620;X:-tra;Mikaela Norrman;Stockholm;Mikaela Norrman;Anna Rydmark;4280
Coop Östra;Coop;;16036;Bagarmossen;Coop Bagarmossen;0005;01;556030-5921;;Svartågatan 7;128 45;Bagarmossen;Bagarmossen.bc@coop.se;Tf Louise Hesselgren Larsson;010-741 75 10;010-741 75 11;076 126 52 75;Kerim Nielsen;Misak Yazdi;Syd 4;Siri Karlsen;VH Syd 4;016036;Bagarmossen;;Coop  ;Joakim Ytterström;Stockholm;Mikaela Norrman;Jessica Carlsson;1042
Coop Östra;Coop ;;26816;Barkarby ;Coop Barkarby;5003;41;559198-3589;x;Jaktplan 1;175 63;Järfälla;Barkarby.bc@coop.se;Mikael Lander;010-741 72 60;010-741 72 61;;Kerim Nielsen;Misak Yazdi;Nord 4;Tf Kenneth Kyobe;VH Nord 4;026816;Barkarby ;;Coop Närhandel  ;Mikaela Norrman;Järfälla;Jenny Halldin;Elin Kronqvist;1107
Coop Östra;Coop;;16252;Bergshamra;Coop Bergshamra;5003;20;559504-6821;x;Rådjursstigen 3-5;170 76;Solna;Bergshamra.bc@coop.se;Stefan Lindberg;010-741 71 30;010-741 71 32 ;;Kerim Nielsen;Misak Yazdi;Nord 3;Michaela Andersson;VH Nord 3 ;016252;Bergshamra;;Coop Närhandel;Joakim Ytterström;Solna Stad;My Jonsson;Elin Kronqvist;1080
Coop Östra;Coop;;16016;Björkhagen;Coop Björkhagen;5002;01;559444-8069;x;Halmstadsvägen 37;121 53;Johanneshov;Bjorkhagen.bc@coop.se;Erik Kekonius;010-741 78 90;010-741 78 91;;Kerim Nielsen;Misak Yazdi;Syd 4;Siri Karlsen;VH Syd 4;016016;Björkhagen;;Coop Närhandel  ;Joakim Ytterström;Stockholm;Mikaela Norrman;Jessica Carlsson;1027
Coop Östra;Coop ;;30570;Björnboda;Coop Björnboda;0005;01;556030-5921;;Box 6053,  Björnmossevägen 5;162 06;Vällingby;bjornboda.bc@coop.se;Cindy Herrstedt;010-741 92 80;010-741-92 81;;Kerim Nielsen;Misak Yazdi;Nord 4;Tf Kenneth Kyobe;VH Nord 4;030570;Björnboda;;Coop Närhandel  ;Mikaela Norrman;Stockholm;Jenny Halldin;Elin Kronqvist;1121
Coop Östra;Coop;;16096;Bondegatan ;Coop Bondegatan;5003;95;559280-2929;x;Bondegatan 65-67;116 34;Stockholm;Bondegatan.bc@coop.se;Tord Wall;010-741 81 30;010-741 81 31;;Kerim Nielsen;Misak Yazdi;Nord 3;Michaela Andersson;VH Nord 3 ;016096;Bondegatan Sthlm;;Coop Närhandel  ;Michael Sandelin;Stockholm;My Jonsson;Elin Kronqvist;1056
Coop Östra;Coop ;;55000;Boxholm  ;Coop Boxholm;5002;33;559527-0975;x;Storgatan 12;595 70;Boxholm;Boxholm.bc@coop.se;Emma Griffin;010-741 57 40 ;010-741 57 41;072-709 82 03;Kerim Nielsen;Misak Yazdi;Syd 2;Alexander Schoug;VH Syd 2;055000;Boxholm  ;;Coop  ;Anna Fredberg;Boxholm;;Josefine Wiberg Malmström;1144
Coop Östra;Coop;;26500;Bredden;Coop Bredden;0005;01;556030-5921;;Kanalvägen 1B;194 61;Upplands Väsby;bredden.bc@coop.se;Helena Hamrin;010-745 02 90;010-745 02 91;;Kerim Nielsen;Misak Yazdi;Nord 5;Caroline Gudmundsson;VH Nord 5;026500;Bredden;;Coop  ;Mikaela Norrman;Upplands Väsby;Jenny Halldin;Anna Rydmark;1703
Coop Östra;Coop;;16029;Brommaplan;Coop Brommaplan;5003;29;559388-6400;x;Klädesvägen 12-14;168 76;Bromma;Brommaplan.bc@coop.se;Jari Saaronen;010-741 69 95;010-741 69 99;;Kerim Nielsen;Misak Yazdi;Nord 4;Tf Kenneth Kyobe;VH Nord 4;016029;Brommaplan;;Coop Närhandel;Mikaela Norrman;Stockholm;Jenny Halldin;Elin Kronqvist;1037
Coop Östra;Coop ;;16205;Bromsten ;Coop Bromsten;0005;01;559578-4645;x;Duvbovägen 107;163 40;Spånga;Bromsten.bc@coop.se;André Da Silva Paulo ;010-741 74 80;010-741 74 81;;Kerim Nielsen;Misak Yazdi;Nord 4;Tf Kenneth Kyobe;VH Nord 4;016205;Bromsten ;;Coop Närhandel;Mikaela Norrman;Stockholm;Jenny Halldin;Elin Kronqvist;1077
Coop Östra;Coop;;56214;Bråddgatan;Coop Bråddgatan;0005;01;556030-5921;;Bråddgatan 30;602 22;Norrköping;braddgatan.bc@coop.se;Lucas Wikander;010-746 42 80;010-746 42 81;072-468 51 37;Kerim Nielsen;Misak Yazdi;Syd 1;Simon Thell;VH Syd 1;056214;Bråddgatan;216587;Coop Närhandel;Marie Elg;Norrköping;;Josefine Wiberg Malmström;4222
Coop Östra;Coop;;26828;Bålsta;Coop Bålsta;0005;01;556030-5921;;Centrumstråket 6;746 32;Bålsta;balsta.bc@coop.se;Kajsa Henriksson;010-746 46 30;010-746 46 31;073-343 87 37;Kerim Nielsen;Misak Yazdi;Nord 4;Tf Kenneth Kyobe;VH Nord 4;026828;Bålsta;;Coop;Mikaela Norrman;Håbo;Jenny Halldin;Elin Kronqvist;1701
