"Leveransdag","Leveranstid","Beställningsdag","Stopptid","Flödesnamn","DC/Leverantör",""
"Måndag","13:50","Söndag","11:35","Standard","ARLA FOODS AB FALBYGDENS OST","1"
"Tisdag","07:45","Söndag","10:00","Färskt","ESKILSTUNA Coop Logistik AB","1"
"Tisdag","07:45","Söndag","10:00","Torrt","ESKILSTUNA Coop Logistik AB","1"
"Tisdag","09:25","Måndag","09:00","Standard","FALKÖPINGS MEJERI EK.FÖRENING","1"
"Tisdag","13:40","Måndag","11:35","Standard","ARLA FOODS AB FALBYGDENS OST","1"
"Tisdag","15:45","Söndag","10:00","Fryst","ENKÖPING","1"
"Onsdag","06:00","Måndag","10:00","Torrt","DC HELSINGBORG","1"
"Torsdag","07:00","Tisdag","10:00","Färskt","ESKILSTUNA Coop Logistik AB","1"
"Torsdag","07:00","Tisdag","10:00","Torrt","ESKILSTUNA Coop Logistik AB","1"
"Torsdag","08:30","Tisdag","10:00","Fryst","ENKÖPING","1"
"Torsdag","09:25","Onsdag","09:00","Standard","FALKÖPINGS MEJERI EK.FÖRENING","1"
"Torsdag","13:30","Onsdag","11:35","Standard","ARLA FOODS AB FALBYGDENS OST","1"
"Fredag","09:15","Onsdag","10:00","Fryst","ENKÖPING","1"
"Fredag","14:15","Torsdag","11:35","Standard","ARLA FOODS AB FALBYGDENS OST","1"
"Lördag","08:00","Torsdag","10:00","Färskt","ESKILSTUNA Coop Logistik AB","1"
"Lördag","08:00","Torsdag","10:00","Torrt","ESKILSTUNA Coop Logistik AB","1"
"Lördag","09:25","Fredag","09:00","Standard","FALKÖPINGS MEJERI EK.FÖRENING","1"
